"No.","コメント","評価"
"No.49 :","趣味で作ったAndroidアプリを実機で動かしてみたくて購入しました。無事動作して大満足です。とりあえず何でもいいから新しめのAndroid端末ができるだけ低予算で欲しいという方にはとてもお勧めだと思います。すごく良い買い物をした気分です！その他思ったこと・タブレット自体の重さが軽くて良かった・複数アプリを開いているとちょっと温かくなるが、自分の使用用途では今のところ問題は感じない",5
"No.50 :","製品全体のレビューは他の方と変わらないので省略します。充電について付属の充電器が5V2.5Aにて12.5W以上あれば大丈夫と思い3種類のPD充電器、iPad付属(20W)、OneMix3Pro付属(30W)、モバイルディスプレイ付属(45W)で試したがいずれも充電できませんでした。TECLASTの商品説明は「Type-C Charging」とあるがPDの記述はなく対応していない様ですので購入される方は注意ください。なお、PDでないType-A出力の充電器では充電はできました。",4
"No.51 :","余程、重い作業やゲームをしない限り、十分な性能だと思います。プライムセールで更に低価格で買えたので大満足です。私が購入した端末でもBluetooth問題が発生し戸惑いました。アマゾンの商品ページに解決策が掲載されていましたが、パッと見では分かり辛かったため、これを探すまでは不安でしたが、すぐに解決できました。これさえなければ文句なしの満点です。",4
"No.52 :","バッテリーが数十分しか持たない",1
"No.53 :","子供との外出時に使う為に購入しました。1280<U+2715>800の高解像度なので、どこで使用しても明るくて画像が鮮明ですね！8インチでそこまで大きくはないですが、スマホよりも大きくみやすいと子供も満足しています。4000mahの大容量バッテリーなので、電池持ちがよく、出張時や旅行先でも気軽に電子書籍、映画やドラマを楽しめます。",5
"No.54 :","Wifiアクセスポイント（以下AP)はデフォルトで2.4GHzのものしか表示されず、2.4GHzの接続が確立されると初めて5GHzのAPが表示される。　5GHzのAPは設定そのものはできるが結局接続されずに強制的に2.4GHzのAPに接続されて5GHzのAPは使用できない。　また、2.4GHzの接続でもNASからのデータ転送で途中で勝手に切断される。　リセットして再設定しても変化はない。　また、bluetoothも不安定で、とにかくどんなワイヤレス機器に対しても中途半端にしか接続できない。　他のレビューを見ると概ね良好な意見もあるが、複数のロットで異なる仕様の製品があるという記載も見受けられる。　メーカーが均質な製品を提供できないなら、販売を控えて欲しいくらいである。　ウェブブラウジングくらいにしか使えない機種である。",1
"No.55 :","学習用で動画を見ることを主目的に購入しました。タブレットそれ自体は起動し、動画閲覧もさして不具合なくでき、主たる目的は達成しました。ただ、Bluetooth機能に支障が生じ、起動後30分でシステムアプリが繰り返し停止するようになり、Bluetooth機能は一切使えなくなりました。これが自分の買った端末だけに起きた不具合か、はたまた製品自体の欠陥なのかはわかりません。ですが、Bluetooth機能が使えないのは自分にとってはかなりクリティカルな問題だったので、返品しました。逆に、それ以外の機能は何ら問題はなく、値段相応かそれ以上の製品でしたので、この星の数の評価です。",2
"No.56 :","届いてから数時間で「Bluetoothが停止を繰り返してる」が表示、再起動すると少し止まるが、すぐにまた再表示電源を完全に切ると数時間は出なくなるがまた「Bluetoothが…」の表示が繰り返しされイライラ、次の日完全リセットにして表示が止まりました。バッテリーは少し持ちが悪い気がします。それでも充電池や家だけで使うと思えば気になりません。まだ数日なのと初めてのタブレットなのでスマホとは別物と思って使えば悪くないと思います。カメラの画質悪いです。",3
"No.57 :","使用二日目、今のところ最高です。感度も良く、電池の持ちも良く、負担の高い３Dゲームもそこそこ動きます。これがこの値段で良いのか、すぐ壊れるのではないかと不安ですが今のところ文句なしの星５です。音は皆さん仰っているようにちょっとキンとしています。",5
"No.58 :","そりゃ値段が10倍するようなタブレットと比べたらもっさりだし画面もきれいではないかもしれない。でもTwitterするなら不満はないし1万以下タブレットと考えたら頑張ってるよ。Squareのお会計でクレカ決済に使ってます。",3
"No.59 :","キッチンで、レシピを見る用と就寝時にかるく見れたらな～と、購入しました。意外といいかも～。詳しいスペックとか機械は、苦手ですが動画も問題無く見れます。ゲームはあまりしませんが、使えるタブレットだと思います。",5
"No.60 :","同メーカーはこれで3台目　今まで3台（P10、M40、本機）全て不具合が出ていない為、個人的に信頼できるメーカーと思う。　バッテリは連続した動画再生でで6H程度利用できる。ストレスは感じないが反応はワンテンポ遅い。個人的には講義動画をストレスなく連続再生する目的で購入したので納得の1台です。",5
"No.61 :","この価格で、とても良い買い物でした。少しだけ重いですが。",4
"No.62 :","全ての性能が従来に比べてタブレットとは思えないほど進化。Androidも音声認識でほとんどOKで容易に操作できる。音質はやはり重低音は仕方ないが、ブルーツースで接続すれば結構楽しめるので問題は無い。バッテリの持ちもまずまずで使い勝手もいいので満足。",5
"No.63 :","2年前に買った泥タブがまともに充電出来なくなってきたんで買い換えクーポン使ってだが2万円を切る値段でこのスペックはデイリーユースには十分以上主にweb小説や電書を読んだりですがたまにやるロマサガRSも軽快に動く満点にしたいところだけど付属のUSB充電用ACアダプタが一ヶ月も持たずに使えなくなったんで減点充電出来てなかったから本体の故障かと焦りました",4
"No.64 :","軽いしコンパクトなので子供達に丁度良い。設定も分かりやすかったし、WiFiもスムーズに繋げられた。ただ、急にWiFiが繋がらなくなってボタンを押してるのにすぐ消えてを繰り返した。再起動させたら問題なかったです。",4
"No.65 :","この価格でこの性能なら、非常に良いと思います。初期設定もスムーズにできました。今のところ何の問題も無く使用しています。ただ不満なのは、時計とバッテリーのウィジェットを設置しようとしましたが、出来なかったのと、電池の減りが早いのが残念です。",4
"No.66 :","画面の端に歪みがあります。値段なりとは言え、これは萎えます。バッテリーの持ちは悪いけど、その分軽量です。漫画とAmazonプライムの映像を見るのには十分な性能だと思います。",3
"No.67 :","各機能(wifi デザリング、Bluetooth イヤホン)やバッテリー持ちは全く問題なく、良い買い物が出来ました。唯一の問題は、表面に波打ちがあり(特に周囲の枠部分)、ガラス保護フィルムが浮いて貼れず(気泡が抜けず)、何度も押してたらフィルムが割れてしまいました。保護フィルムはソフト系が良いとおもいます。",4
"No.68 :","コストパフォーマンスが高いと思います。ipadと同等の期待をしている方には、物足りないかもしれませんが十分に満足できる製品と思います。接続もすんなりいきました。",5
"No.69 :","最初はエラーが幾つか続き徐々に悪化、とても使えないと販売元へ連絡したところシステムのアップデートを指示された為実行。以降は改善され、動作が遅くなることはあるも大きな問題なく使用できています。",4
"No.70 :","128GBのmicroSDが使えて、なおかつアプリゲーム関連がSD起動出来るので余裕のある容量。かなり悪い点として、ウィルスバスターの「重ねて表示」とやらが設定出来ない為サイト巡りが怖くて出来ない。そこが設定出来れば100点。",5
"No.71 :","以前使っていたタブレットが壊れた為、こちらの商品を購入前と違い、アイコンが小さいがタッチの反応も良いので使い易く感じています。",5
"No.72 :","実は同じTECLAST製のM40を使っており、そちらがとても処理速度が速いので、こちらも期待したのですが、やはり値段が安い分動きがもっさりしていました。軽さは最高でしたが、返品いたしました。",3
"No.73 :","重く厚く、表示は今時的には粗い感じがします。だけど安価で動作は安定しており、Web閲覧などの用途には十分以上の働きをしてくれます。総じて言えばデザインの秀逸さとか所有する喜びとかは感じられませんがコスパに優れた良心的な実用機ですね。",4
"No.74 :","動画を観る為に購入しました。Bluetoothの接続が良くありません。再接続しよーとすると「Bluetoothが繰り返し停止します」の一点張りで毎回再起動しないといけません。安いなりの商品です。他は問題なく使えます。",2
"No.75 :","今月新品購入し、初めて100%まで充電しました。その後数時間放置してたら、いつの間にか3%減っていました。5年間サブとして使っているAndroidスマホみたいな電池の減り方をしています。今もいつの間にか2～3%減っています。電子書籍として使用しているので、今のところバッテリーの減りが早い以外の不満点はないです。",3
"No.76 :","スリープをoffにしているのですが勝手に電源が落ちます。復帰後すぐだったり数時間後で同じ症状が出ます。最近は勝手に落ちたあとの電源のonも長押ししないとダメになりました。せめて半年はもって欲しかったです。",2
"No.77 :","子供に持たせていたタブレットが壊れたタイミングでプライムセールがやっていたので購入。子供に持たせるにはちょうど良い感じでした。特に悪い所も無い様ですし。買って良かったと思います。",4
"No.78 :","NEXUS2013の後継として購入しました。前機と比べるとさすがに処理が早くて画面が大きくストレージが多く、重宝しています。使用目的がwi-fi使用の簡単な通信と読書なので不自由なく使用していますが、前機の7インチと比べると重く、片手で支えるには負担が生じます。個人的には大満足です。",5
"No.79 :","値段の割にとてもいいと思いました。日本語の説明も載っていてわかりやすかったです。ただ初期設定するのに最初に言語選択ができず、スキップも全部出来るわけではなかったので、英語がわからない私にはそのまま進めて大丈夫か不安がありました。その他は値段でみると本体は軽いし、とてもいい買い物だと思います。子供用に買ったのですが、かなり満足です。",4
"No.80 :","子供用に、アプリゲームをさせる専用として購入しました。最初に購入したものは充電をしようとケーブルを差し込んでも電池残量が30%から上がることなく、充電ができない初期不良ということで返品させていただきました。返品の対応はとても早く行っていただけました。買い直した物は問題なく使えています。物理ボタンが安っぽいところと充電の持ちが悪い以外は動きもスムーズだし、画質もそこそこで使えてます。用途を限って使う分には申し分ないと思います。",3
"No.81 :","QZ8からの代替えとしてセールで購入。思いの外サクサク動くし音もそれなりなので安心した。後は耐久性かなー。ちょっと残念なのは、ausimはやはり受け付けてくれなかったことか…使えたらラッキー程度でかんがえてましたが。",4
"No.82 :","目が悪くなってきているので8インチの画面は見やすい。Andoroid10なのでスマホと同じ様に使えるのが便利です。値段相応の画面の解像度がHDなのが残念。",4
"No.83 :","お家でWiFi使って動画を見たりゲームしたりするために購入させて頂きました。難なく使えていますし、十分でした。",5
"No.84 :","以前に、同社７インチのタブレットを購入したのですが、液晶画面を破損したので、今回は、８インチの同社タブレットを、改めて購入しました。しかし、サイズ（外周サイズも、液晶画面サイズも）は、全く同じでした。たいした支障はありませんので、そのまま使っていますが、嘘の記載はいけません。彼の国の製品は、嘘まみれですので、こだわる方には、お奨めできません。",2
"No.85 :","液晶に、最初から縦筋入っているとか、タイムゾーンを手動で日本にするまでずっと中国のままだったとか、起動した覚えもないbluetoothが、頻発に停止しますのポップアップ出したりとか、細かいこと言い出したらきりがないけど、多少不具合覚悟しての購入だし。利用目的はKindleとKoboなので、それぞれの専用機買うより便利に使える。カラーだし。",5
"No.86 :","低廉な商品なので仕方ありませんがもう少し電池が持てばと思うところと、アンドロイド１０ＧＯというＯＳが入れたいアプリが入らないことがありますので注意が必要です。",2
"No.87 :","注文の翌日に届きました。しかもその日から値段が下がってしまいがっかりです。使用は慣れてくれば大丈夫かなと思います。",4
"No.88 :","動画に本を読むなどの軽い物をするだけなので　6GB+128GBで動作にダウンロードも余裕。ただ　iPadよりかなり重いので手持ちで長い間見るのはきつい。",4
"No.89 :","スピーカーが右にあるバージョンが来たが、一緒に買ったケースは左にスピーカー穴があり、音がこもる専用ケースの意味がない、ケースを一緒に買った時はスピーカーが左にあるバージョンにするべきだ。",1
"No.90 :","悪い点を書きますね。①電波が強い所でもWi-Fiが切れて、動画が途中で止まってしまう②アプリが勝手に強制終了してしまう③スクリーンショットの釦が下にあり、撮りたくないのに　スクリーンショットを撮ってしまう値段が安かったのでそれなりのものと割り切っていますが購入はお勧めしません。",1
"No.91 :","他機器は接続しますが　本タブレットは　ルーター再起動したときだけ接続するが　その後外れて　使い物になりませんでした。何度　接続を試みてもダメでした。他の方は大丈夫なのでしょうか？？返品とする予定です。残念です。",1
"No.92 :","バッテリーの減りがはやいとのコメントがあるとうり減りははやい感じだがフル充電でYouTubeなどの動画視聴なら4時間は大丈夫これだけ安いタブレット、コスパは最高であるゲームとかには向いていないと思う",5
"No.93 :","小学生の子供用に買いました。喜んでます。画質はかなり悪いです。",4
"No.94 :","職場でファーウェイの数年前のタブレット使ってますが、そちらの方がサクサク動きます。子どもの学習用アプリのために買いましたが、よく止まるしカクカク。値段を考えたらこんなもんかー、と思ってしまいます。動画は普通に見れました！",3
"No.95 :","購入から１ヶ月毎日使用していますが正直なめてました。この価格でこのパフォーマンスはすごいです。アマゾンタブレットや他の安いタブレットを買うなら断然こちらをおすすめします。大容量MMORPGやCODモバイルPUBGなども動作不備なく動きます。残る問題はバッテリー寿命や本体寿命ですが果たしてどのぐらい持つのか",4
"No.96 :","今年6月購入で9月にはWi-Fiに繋がらなくなりました。複数台あるスマホ、PCは問題なく繋がっています。当初から通信速度はかなり遅く、快適な使用とは程遠いです。何名かの方も指摘していますがバッテリーも消費もあり得ないほど酷い。個体差はあると思いますががっかりです。",1
"No.97 :","ガラスフィルムが元々貼ってあって助かりました。画質は良いです。動作はサクサク、音はfirHD10が上です。中華タブ安価で助かります。",4
"No.98 :","１ヶ月もしないうちに、充電が出来なくなりました。これって不良品でしょうか？",1
"No.99 :","Fire10の遅さにイライラしてついに購入。Fire 10と比べて早いし軽いし少し薄くなったし画面もきれいだし感動。画面に初めから保護シート貼ってあるし便利。ipadのようにアルミの角を削って光沢があるので高級感がある。ネット見たり動画見たり本読んだりする分には何の不満もない。USB -Cも便利。買って正解でした。",5
"No.100 :","ほぼ毎日使ってます。Wi-Fiキーボードとの相性が惜しいですが…バッテリーも１日フルで問題なく使用できます。",5
"No.101 :","高スペックが不必要と感じている方なら大変良い商品です必要最小限の品質は十分で普通に使えます高いパフォーマンスを求める方はこういった商品を購入し文句や低い評価をつけずに最初から数万円支払うべきかと思います",5
"No.102 :","WiFiの接続がよく抜けしまいますね。",2
"No.103 :","息子のクリスマスプレゼントにタイムセールで購入。スマホが欲しいと言われていたけどまだ早いとWi-Fiモデルのこちらに。初期設定も簡単だったし、このお値段だったら十分なスペックです。サブ的な感じで検討している人には良いかも。",4
"No.104 :","見た目より少し重め、片手で持ち続けるのはキツく、両手がお勧め動画や漫画を見たりネット検索ならまあ大丈夫、たまにアプリが強制終了しますが電池は動画の場合3～4時間位は見れます",3
"No.105 :","最近、充電が上手くいかなくなりました。あと、動作が重い。快適だったのは最初だけでした。6歳の娘に買ってあげた物ですが、娘もその動作の重さにイライラして思うようにアプリが動かないと泣くほどです。",2
"No.106 :","毎日使用していますがｎバッテリーの減少が凄い。数分で5％減ります。交換してほしいです。",2
"No.107 :","コスパ大、家でWi-Fiが使えるのでちょうどいい。外出時は、フリーWi-Fiの場所を探してくれるアプリを使って利用している。",5
"No.108 :","会社のメール確認、オンラインビデオ会議の参加に使わせていただきました。コストパフォーマンスが良い製品です。",5
"No.109 :","この価格でこの性能なら、非常に良いと思います。一度初期不良で交換になりましたが、その時のサポートも迅速で丁寧だったので、安心感があります。ただ、また同じ症状が繰り返し出るので、返品を考えています。",3
"No.110 :","画像と届いた商品の背面のスピーカーの位置が違います。ケースも合わせて購入しましたがスピーカーの位置が違うのでスピーカーの為に開いている場所が合いません。どうしてなんでしょうか？",4
"No.111 :","画面輝度が最低にしても明るすぎる。",2
"No.112 :","普通",3
"No.113 :","普通",3
"No.114 :","画面が大きい事以外は駄目でした。時刻が自動で合わなく、手動設定のみ。WiFi使用でラジオを聞くと音が途切れ途切れの状態になり使えない。同条件で別のスマホで試したら全く問題無し。総合的に不良品でなければ未完成品でしょう。",2
"No.115 :","この価格帯で心配なのは、きちんと動くかどうかですよね。きちんと動きます。扱いやすいですし、普通に使う分には何の問題もありません。",5
"No.116 :","現在使っているドコモarrowsタブレットがダメになったため買い替えですHuluやプライムビデオなどの映像はとても奇麗だと思いますその他今まで使っていたアプリは全て使えました良い買い物だったと思います",4
"No.117 :","使用方法に取説だけでは不明な点多く、想像以上使い勝手が悪い。取説の充実を願いたし。（現状使い切れていない状況））",1
"No.118 :","安もの",1
"No.119 :","別に何も設定していないのにブルートゥースが接続できないというメッセージが頻繁に出てくる。時間が自動であわない。おもちゃのつもりで購入のため、我慢してます。メジャーのメーカーならこんなことはないはず。電池の減りもはやい。",3
"No.120 :","2か月前に購入。本当に数回の使用。５回使ったのかな？くらいです。Wi-Fiが使えません。どこのWi-Fi使ってもダメです。端末の故障なので返品したいです。それか交換お願いしたい。お金を捨てたような物。",1
"No.121 :","重い遅い",2
"No.122 :","タブレットで、使用しています。動作も良くゲームもストレス無く楽しんでいます。",5
"No.123 :","メモリーが多いのは良い点。スピーカーからの音は、細いというか、物足りない。値段の割にはいいと思う。8インチからの買い替えでしたので、やはり重い。そんなもんでしょう。",3
"No.124 :","全く動きが滑らかじゃありませんし、アプリも起動してくれません。これは買うべきではありません。",1
"No.125 :","軽くて持ち運びに便利です",4
"No.126 :","安くて使いやすいが表面がザラザラしていて滑りが悪いバッテリーももちが悪い方カメラは無いよりマシな程度画面はキズが付きやすい",3
"No.127 :","バッテリーの持ちはイマイチです。GOエディションで心配したけど、必要なアプリは動きました。便利に使ってます。",5
"No.128 :","知らない会社の商品で少し不安でしたが、普通に使えています。やや重い感じがします。",4
"No.129 :","コストパフォーマンスが良い軽い、安い、性能よし",4
"No.130 :","安い綺麗そこそこ早い。でも重い持ち歩くには微妙ですが、車据付や自宅でのWiFi運用であれば非常にコストパフォーマンスに優れると思います。次の次くらいの世代で軽くなるのを期待してます。",4
"No.131 :","安くて良いと思う",4
"No.132 :","楽天のSIMは使えませんでした。認識してるのに。携帯では電波入るので、これが楽天の周波数に対応してないのでしょう。別途モバイルwifiを買いました。",3
"No.133 :","もっとサクサク動くのかとおもいきや、かなり動作は遅いです。失敗しました。",1
"No.134 :","異常に安かったのであまり期待していなかったのですが、今のところ多少もっさりしてるけど、充分な機能を満たしており、満足しています。後は耐久性を確認中(^ ^)/。",4
"No.135 :","バッテリーの持続時間が短いですが、満足の商品です。次は10インチ買いたいと思います",4
"No.136 :","子供用に購入しましたが、到着後１日も絶たずに画面を割ってしまいました。メールで問合せ相談すると、すぐ返事が届き、返品交換の対応をして頂きました。とても助かりました。特に問題なく使えています。",4
"No.137 :","そんなに軽くはない。画質というか設定でなん種類か画質のバリエーションが選べると嬉しいです。ゲームによってはタップの位置が若干ずれるのが気に入らないです。",4
"No.138 :","画質、軽さはコスト面で納得できますがバッテリーの持続時間は思った以上に悪いような気がします、更に充電しなくなったりしますこれはダメです。",1
"No.139 :","タブレットについてはあまり詳しくないのですが、このお値段でこれだけ使えれば満足です。",5
"No.140 :","格安で性能も悪くないのでコスパは高いですね。電池の持ちは悪いですね。画面は結構キレイです。",4
"No.141 :","少し重い　バッテリーの消費が早い　映画1本で半分はなくなります",2
"No.142 :","3ヶ月で画面の半分反応しなくなりロック解除ができなくなった",1
"No.143 :","まず起動に時間がかかる。動作も遅い。動画を見たい方は買わない事をお勧めします。ページ数のあるPDFは開きません。さすが安いだけの事はありました。",1
"No.144 :","動画を観るように購入しましたが安くて使い勝手がとても良かったです。お店の対応もしっかりとしていてとても安心出来ました。",5
"No.145 :","動作についてはもたつきはありますが、可もなく不可もなくといったところです。モニターの画質、カメラの画質についても日常生活で使うには問題がないと思います。子ども用に購入したので、価格相応だと感じております。",3
"No.146 :","dtvで動画見てたら急に固まって動かなくなった。再起動してもダメ。安物の銭失いなので素直に性能の良いタブレット買った方が良いです。",1
"No.147 :","値段的に心配でしたがとても良い商品です。",5
"No.148 :","処理速度はスペック通り快適でしたが、画質や音質は余り期待しない方が良い。また、中華製で多少不安もありましが、androidを使ったことがあれば問題なく対応出切ると思います。",3
"No.149 :","気に入った所は中華製でも軽く、画質は悪くない気に入らないところはバッテリーの持ちが悪い",4
"No.150 :","音ゲーはタップがズレ、3Dゲームはかくつくき、裏面が熱くなるが、それ以外は特に不便とは感じない。ただ、バッテリーはあまり持たない。",4
"No.151 :","動画がHDでも1080にならなくて720どまりゲームなどは重いので遅すぎ",3
"No.152 :","周りのレビューに騙されましたあまりにも酷いオモチャです",1
"No.153 :","久々のタブレット購入！画質も音も良く、サクサク動作が良い！ただ、重い。。。。片手ではすぐに疲れてしまって持っていられない。。。。それが残念。。。",4
"No.154 :","液晶保護フィルムを貼ったにも関わらず液晶が軽くヒビ入り　起動せず3日で終わりました安値の物はダメですね",1
"No.155 :","知らないメーカーで安かったので不安でしたが画面も綺麗で快適に使えて大満足です。ストレージも128Gと大きいので容量を気にせず使えるところも良いです",5
"No.156 :","バッテリー持ちもいいです普通に使えます　何より安い！",4
"No.157 :","ゲーム用に購入しましたがタッチパネルの反応が悪すぎるのと画面の右側約1㎝が反応しません。二度と購入しません。",1
"No.158 :","今年の３月末に購入、現在12月ですがもう起動しなくなりました。安い製品だったので、こんなものなんでしょうね。",1
"No.159 :","バッテリーの持続時間が少し気になりましたが普通に使うなら申し分はないと思います！",4
"No.160 :","バッテリーも長持ちしないしイヤホンで音も聞けない充電しながらなら使えなくもない",2
"No.161 :","Bluetoothの接続が不安定、バッテリ持ちが悪い、充電部分が接触不良になりやすい買って失敗です",1
"No.162 :","値段と合った性能かなと。満足しています。",5
"No.163 :","性能はミドルレンジでsd660程度バッテリー容量が多いのがプラスポイントただ後継機のM40のほうが安いのが残念",4
"No.164 :","低価格でタブレット欲しい方はこれおすすめです！You Tubeやアマゾンプライムビデオも問題なく見れます",3
"No.165 :","今のところ問題なく普通に使えてます。全体的には良い商品だと思います。",4
"No.166 :","すべてお気に入り商品です",5
"No.167 :","すぐに何度もWi-Fiが飛び設定しようとするとその都度電源が落ちます。金返して欲しい。",1
"No.168 :","やすかったが、一部アプリが対応していないものがあった。",2
"No.169 :","動画の観賞用に最適です。音ゲーなどは向いておらず、入力遅延が激しいです。",3
"No.170 :","5ヶ月で壊れた、タッチパネルが反応しなくなった。修理が出来るのかな？",1
"No.171 :","YouTubeは見れるけど、Amazon primeは見れない。",1
"No.172 :","とうとう充電もできなくなった",1
"No.173 :","一部のアプリが突然使えなくなる。初期化したら治る。画質とか音質は良い",4
"No.174 :","今のところ問題もなくゲームしたりYouTube見たり出来てるようです",5
"No.175 :","この価格なら十分なクオリティ",5
"No.176 :","低価格で購入できましたが、やはり低価格なりの商品です。",2
"No.177 :","軽くて持ち運びにとてもイイです",3
"No.178 :","ゲームの動作は遅いです。",4
"No.179 :","十分に使えます。バッテリーは1日一回充電。持ち運びに便利な重さ。",4
"No.180 :","この価格でパフォーマンス、機能も納得です。",5
"No.181 :","画面の平坦差がもっと精密で有って欲しい。",4
"No.182 :","格安で、満足です。",5
"No.183 :","片手で持って動画を見るには重い。",3
"No.184 :","使いやすいです",4
"No.185 :","トータル的に良かったです。",5
"No.186 :","すぐに壊れました。",1
"No.187 :","少し重かった。",3
"No.188 :","Android タブレット音量音質がいい",4
"No.189 :","表示が綺麗",5
"No.190 :","画質はキレイでした。",4
"No.191 :","調べ物、動画閲覧、ウェブ漫画の為に、１万円を切るタブレット端末を探していてこちらを購入しました。大きいアプリは、試していませんが、上記の内容は難無くこなし、コスパが良い買い物になったと思います。2ヶ月ほど使用していましたら、接触不良の為か、充電出来なくなり、他のケーブルも試しましたが駄目でした。値段面、返品期間の過ぎていたこともあり、諦めようかとも思ったのですが、ダメもとでメーカーさんへ相談。症状をお伝えすると、返品代は自腹でしたが、迅速に新品を送って頂きました。やり取りも丁寧で、コスパを考えると申し訳ないと思うぐらいでした。機会があれば、また、こちらのメーカーさんから購入したいと思います。",5
"No.192 :","fire7で、bookwalkerアプリが起動しないので、ベッドでごろ寝読書用として、購入。googleplayで、OSバージョン不一致からか、インストール不可なアプリが多数あり。普段使いのアプリが、複数不可で、困った、アプリ的にはAndroid:６以上で、このタブレットがAndroid:10なのだが、なぜか、インストール不可で、APKより、インストールすることで、何とか対応。性能的には、「ひどい」とまでは言わないが、良くはない。ポケモンGoなどは、起動はするが、明らかに能力不足で、非常に重い。まあ、主目的が、電子書籍用であるので、用途に絞れば、問題なく、目的を果たせた。Youtube、VLC等の動画視聴は、未確認。自宅内でしか使用しないので、Wi-

Fiオンリーでも問題にはしない。他の方のレビューにもあったような気がするが、電池の」減りは若干早い気がする。100%だったものが、一時間弱の使用で、60%弱になっている事があった。ゲームでの使用であったので、負荷の多い作業では、消費がはげしいのかも？まあ、値段分と思えば、それまでではあるが、「酷いとまでは言えないが、良くはない。」が、率直な印象。",3
"No.193 :","届いてすぐに設定と動作確認しました。あらかじめ充電されていたのですぐ操作できて良かったです。画質も軽さも思った以上にいい！1時間動画見て70%前後だったので、バッテリーも気にならない。で、買っておいたガラスフィルムに貼り替えようと初期フィルムを剥がしたら、、もーびっくり。フィルムを剥がしたのに気泡が、、よーく見たら気泡、液晶内でした。（画像の液晶上部の中央ぐらいにある小さいの。判りづらいですが）こんなことあります？！びっくりしたー。まぁよく判らないけどハズレを引いたんだろうな…。安いとはいえ当分お世話になるつもりなので、返品の手続きしました。でも気に入ったので同じ商品買い直します。これで不良品扱いされなかったら泣く。",3
"No.194 :","YiFiのパスワードがどこにあるのか、幾ら探しても見つからず、結局繋がらない。教えてください。いまネット環境の無い所に一時的にいるので、ネットもつながらず無用の長物とかしている。ネット環境がないとこういうものは使えないとしらなかった。家に帰るとあるが。",1
"No.195 :","以前使用していたYOGATabletとの比較になります。まずは、値段がYOGAのほぼ半額程度でこの性能は良かった。６ギガのメモリーでもっと速いかと思っていましたが・・・・・。我が家は光回線を引いています。画質はやや粗い感じで、音質も普通かな。アマゾンプライムビデオ、ユーチューブ、ニュース、孫の写真をみるには十分です。今更ですが、５年前のYOGATabletは素晴らしかったんだと実感しました。",3
"No.196 :","初めてタブレットを購入。持ち運び目的で壊れても良い物を！とは思っていたものの…使いづらさが半端なく…購入を後悔。タブレットってこんなに使いづらいのね泣メニューバーとか無いんですかね？HOMEに戻るボタン等がないから一々消して戻る？説明書が欲しい。安かろう悪かろう…納得。",1
"No.197 :","使いはじめて数時間後、１度目の強制シャットダウン。あげくのはてには、２日後には強制シャットダウンのあと完全に電源が 入らない３日目の今日は、、、、ただの黒い板ですわぁ。安いかろう、○○かろうでした。購入検討中の方はご注意下さい。",1
"No.198 :","画質は問題ないのですが、色々と問題が…1Bluetoothが～、と警告が何度も出る。2ゲームはもっさりとしてタッチパネルの反応も悪い。3バッテリーのもちが悪い&かなりの熱をもつ。4購入して1ヶ月くらいでスピーカー壊れた。安かろう悪かろうです。勉強になりました。",1
"No.199 :","値段相応かと思いもっさりでしたけど２ヶ月くらいで一度バッテリー切れした後に死にました。以前もおかしくなった際にリセットボタン押して復活しましたけどリセットボタン押しても駄目でした。",1
"No.200 :","YouTube専用に買いましたこの価格帯はほとんどがsc9863aというローエンド向けのsocを使うことがほとんどですがこの端末はHelio P60という一段上のミドルローsocを使っているため、ほとんどの操作でカクつくという事がなくスラスラサクサク使えます1080pの動画も止まることなく再生可能ですし画面もそこそこキレイです音も変なノイズなどもなく普通に聞けるものです(なんとデュアルスピーカー！偽物ではなく本当にデュアル)外観は背面がメタルでサラサラして触り心地が良いです前面にはフィルム貼ってあります指滑りも悪くないですしこのままで使えますWi-Fi/acに対応、LTEにも対応しており手持ちのdocomo系simを挿して動作確認できましたデメリットとしてはまずゲームは無理ですそれとベゼル幅は商品写真よりも太いです生体認証にも非対応です……がその辺りは買う前から分かっている事なのでデメリットになるかは微妙なところ1万円台でこれだけのタブレットが手に入るのかーと感動しましたとりあえず買ってみるか！とできる値段なので悩んでたらとりあえず買ってみていいんじゃないでしょうか？",5
"No.201 :","今まで母が8インチタブレットを使用中も壊れたため、安くてYouTubeが見られる代替機をリクエスト。こちらを購入しました。薄くて画面も大きく、YouTubeも問題なくスムーズに見られました。また、画面には最初から保護シートが付いていました（別売のを買ってしまったので、情報として入れてほしかった。）しかし、画面に配置されるアイコンが小さ目。さらに、ウィジェットの設置ができませんでした。時計のウィジェットを追加したかったので、残念です。しかし、当初の目的である動画鑑賞、電子書籍の閲覧もスムーズなので、良しとします。",4
"No.202 :","Google Chromeすら起動できず、落ちます。レビューで良さそうだなと思いましたが、これはやめた方が良さそうです。YouTubeは大丈夫でした。ただ純正でインストールされていて、消すことの出来ないGoogle Chromeが使用できないのは、流石に相当な粗悪品かなと思います。レビューがなぜこんなにいいのか不思議です。私が外れ端末だったんでしょうか…念のため、初期不良の可能性も考えて問い合わせてますが、その対応もまた記載します。●問い合わせ返信通り、工場出荷時に戻し再起動3回ぐらいやったら起動して１度だけ開けました。（30秒ほどかかります）使用できるレベルではありませんので、返品することにします。また対応を追記します。●追記返品しました。サポートの対応は非常に良かったです。",1
